Day & Time New / On;Day & Time Acknowledged;Day & Time Gone / Off;Group;TextID;Class;Prio;I/O Node;I/O Item;Location;Username;Computer
13.02.2018 15:34;;;P1B1V1.P1B1V1_LV02_ME140_G11;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_LV02_ME140_G11.SB.S1251_Auto;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_LV02_WK113_G11;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_LV02_WK113_G11.SB.S1251_Auto;*;;Computer1
13.02.2018 15:34;;22.02.2018 13:10;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value < Negative Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B04.WV.W2266_Les;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_LV02_LB115_G11;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_LV02_LB115_G11.SB.S1251_Auto;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_LV02_WK113_Q16;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_LV02_WK113_Q16.SB.S1251_Auto;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_PC01_A01_GPTSN1;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_PC01_A01_GPTSN1.SB.S1251_Auto;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_LV02_WH114_G11;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_LV02_WH114_G11.SB.S1251_Auto;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_PC01_A01_PAN;T01_S1260;00 Not specified;13;P1B1V1;.P1B1V1_PC01_A01_PAN.SB.S1260_CSOn;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_PC01_A01_PAN;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_PC01_A01_PAN.SB.S1251_Auto;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_LV02_ME110_K29;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_LV02_ME110_K29.SB.S1251_Auto;*;;Computer1
13.02.2018 15:34;;;P1B1V1.P1B1V1_PC01_A01_GPTSN2;T01_S1251;10 Operate Mode;12;P1B1V1;.P1B1V1_PC01_A01_GPTSN2.SB.S1251_Auto;*;;Computer1
22.02.2018 13:11;27.02.2018 08:34;27.02.2018 08:34;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value < Negative Fault Limit;01 Equipment Fault;49;P1B1V1;.P1B1V1_LV02_AB119_B04.FV.F2265_Les;*;;Computer1
22.02.2018 13:11;27.02.2018 08:34;27.02.2018 08:34;P1B1V1.P1B1V1_LV02_AB119_B05;Actual Value > Positive Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B05.WV.W2264_Grt;*;;Computer1
22.02.2018 13:11;27.02.2018 08:34;27.02.2018 08:34;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value < Negative Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B04.WV.W2266_Les;*;;Computer1
