Id	MachineId	Timestamp	EntryType	Source	Parameter	ExtendedParameter	UserComment	SignalResult	SignalStream	Parameter2	Parameter3	Parameter4	Parameter5	ErrorCategoryId
30803908	1009	2018-02-23 09:31:13.307	25	401 // VFR // 410976 // DMU 105	Manual			0						0
30803909	1009	2018-02-23 09:31:20.203	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Manual		0
30803910	1009	2018-02-23 09:31:20.343	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	MA_JOG_STEP1.MPF			0
30803911	1009	2018-02-23 09:31:20.437	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Manual		0
30803913	1009	2018-02-23 09:31:20.530	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	OSTORE1.SYF			0
30803914	1009	2018-02-23 09:31:21.030	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Manual		0
30804194	1009	2018-02-23 09:44:58.803	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	0001_SL_KF_D6.MPF			0
30804195	1009	2018-02-23 09:44:58.880	25	401 // VFR // 410976 // DMU 105	Automatic			0						0
30804196	1009	2018-02-23 09:45:00.440	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Automatic		0
30804197	1009	2018-02-23 09:45:05.480	4	401 // VFR // 410976 // DMU 105	12080	12080, Satz N28 Syntaxfehler bei Text | 1|		0		12080, Satz N28 Syntaxfehler bei Text | 1|	Idle			0
30804198	1009	2018-02-23 09:45:07.040	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Automatic		0
30804203	1009	2018-02-23 09:45:15.120	5	401 // VFR // 410976 // DMU 105	12080			0						0
30804205	1009	2018-02-23 09:45:16.260	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Automatic		0
30804210	1009	2018-02-23 09:45:22.903	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Automatic		0
30804214	1009	2018-02-23 09:45:28.210	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	L_TOL.SPF			0
30804215	1009	2018-02-23 09:45:29.317	4	401 // VFR // 410976 // DMU 105	120200	120200, Bildaufbereitung unterdrückt, bitte warten.|		0		120200, Bildaufbereitung unterdrückt, bitte warten.|	Idle			0
30804216	1009	2018-02-23 09:45:30.220	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	0001_SL_KF_D6.MPF			0
30804219	1009	2018-02-23 09:45:31.437	5	401 // VFR // 410976 // DMU 105	120200			0						0
30804260	1009	2018-02-23 09:47:26.567	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Automatic		0
30804261	1009	2018-02-23 09:47:27.457	4	401 // VFR // 410976 // DMU 105	16907	16907, Aktion 'Wechsel in Programmbetriebsart' nur im Stop-Zustand möglich|		0		16907, Aktion 'Wechsel in Programmbetriebsart' nur im Stop-Zustand möglich|	Idle			0
30804262	1009	2018-02-23 09:47:27.767	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Automatic		0
30804263	1009	2018-02-23 09:47:28.750	5	401 // VFR // 410976 // DMU 105	16907			0						0
30804264	1009	2018-02-23 09:47:28.767	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Automatic		0
30804266	1009	2018-02-23 09:47:30.187	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Automatic		0
30804267	1009	2018-02-23 09:47:30.467	25	401 // VFR // 410976 // DMU 105	MDI			0						0
30804268	1009	2018-02-23 09:47:30.467	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	OSTORE1.SYF			0
30804269	1009	2018-02-23 09:47:32.167	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	MDI		0
30804271	1009	2018-02-23 09:47:36.177	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	MDI		0
30804272	1009	2018-02-23 09:47:36.770	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	MDI		0
30804273	1009	2018-02-23 09:47:51.650	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	MDI		0
30804274	1009	2018-02-23 09:47:59.530	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	MDI		0
30804275	1009	2018-02-23 09:48:00.107	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	MDI		0
30804276	1009	2018-02-23 09:48:00.513	25	401 // VFR // 410976 // DMU 105	Manual			0						0
30804279	1009	2018-02-23 09:48:30.777	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	MA_JOG_STEP1.MPF			0
30804280	1009	2018-02-23 09:48:30.807	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Manual		0
30804281	1009	2018-02-23 09:48:32.743	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Manual		0
30804282	1009	2018-02-23 09:48:32.757	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	OSTORE1.SYF			0
30804283	1009	2018-02-23 09:48:33.333	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6.MPF	Manual		0
30804682	1009	2018-02-23 10:01:00.860	25	401 // VFR // 410976 // DMU 105	Automatic			0						0
30804683	1009	2018-02-23 10:01:00.877	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	OSTORE1.SYF			0
30804684	1009	2018-02-23 10:01:00.877	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	0001_SL_KF_D6ALT.MPF			0
30804711	1009	2018-02-23 10:01:35.977	25	401 // VFR // 410976 // DMU 105	Manual			0						0
